,low,high,open,close,volume,time
45603,1367.36,1367.36,1367.36,1367.36,0.0146,2021-01-31 00:48:00
45604,1367.51,1369.45,1367.51,1368.68,1.18440075,2021-01-31 00:49:00
45605,1365.8,1366.8,1366.8,1366.56,1.2107,2021-01-31 00:53:00
45606,1367.26,1367.69,1367.26,1367.68,0.4846,2021-01-31 01:00:00
45607,1368.81,1368.88,1368.88,1368.81,0.0867,2021-01-31 01:03:00
45608,1369.73,1371.93,1369.73,1371.93,2.5493,2021-01-31 01:06:00
45609,1366.35,1368.74,1368.48,1368.74,1.32953085,2021-01-31 01:09:00
45610,1368.13,1368.81,1368.81,1368.13,0.1743,2021-01-31 01:13:00
45611,1366.23,1367.31,1367.31,1366.23,0.0252,2021-01-31 01:15:00
45612,1369.93,1370.88,1370.88,1369.93,0.763,2021-01-31 01:21:00
45613,1370.57,1370.89,1370.89,1370.57,0.1078,2021-01-31 01:25:00
45614,1369.63,1371.38,1370.57,1371.38,0.3362,2021-01-31 01:28:00
45615,1371.64,1374.15,1374.15,1371.64,0.6808,2021-01-31 01:32:00
45616,1369.76,1370.27,1370.27,1369.76,0.1215,2021-01-31 01:37:00
45617,1369.48,1371.76,1369.48,1371.76,0.7427,2021-01-31 01:42:00
45618,1369.34,1371.29,1370.58,1369.34,0.5955735,2021-01-31 01:44:00
45619,1368.52,1368.52,1368.52,1368.52,0.2634,2021-01-31 01:46:00
45620,1367.31,1368.61,1367.31,1368.61,0.09930331,2021-01-31 01:47:00
45621,1365.0,1365.0,1365.0,1365.0,0.0154,2021-01-31 01:48:00
45622,1365.84,1371.66,1365.84,1371.66,0.08715076,2021-01-31 01:50:00
45623,1373.57,1373.83,1373.57,1373.83,0.1599,2021-01-31 01:55:00
45624,1373.57,1374.65,1373.57,1374.65,0.0238,2021-01-31 01:58:00
45625,1374.04,1375.64,1374.04,1375.34,1.3492,2021-01-31 02:04:00
45626,1374.94,1374.94,1374.94,1374.94,0.0145,2021-01-31 02:06:00
45627,1373.87,1374.31,1374.31,1373.87,0.0541,2021-01-31 02:07:00
45628,1371.68,1373.24,1371.68,1373.24,2.1963,2021-01-31 02:11:00
45629,1369.72,1371.92,1371.92,1369.72,0.2418,2021-01-31 02:14:00
45630,1366.4,1369.67,1369.24,1366.4,1.8386,2021-01-31 02:16:00
45631,1367.61,1367.61,1367.61,1367.61,0.1462,2021-01-31 02:20:00
45632,1363.59,1365.7,1365.7,1363.59,0.3733,2021-01-31 02:21:00
45633,1364.02,1367.06,1364.02,1367.06,0.0949,2021-01-31 02:23:00
45634,1365.22,1366.38,1366.38,1365.89,1.5861,2021-01-31 02:32:00
45635,1364.22,1364.77,1364.22,1364.77,0.1173,2021-01-31 02:33:00
45636,1364.77,1366.27,1364.77,1366.27,0.0709,2021-01-31 02:34:00
45637,1365.39,1365.39,1365.39,1365.39,0.0217,2021-01-31 02:38:00
45638,1363.15,1363.15,1363.15,1363.15,0.0656,2021-01-31 02:39:00
45639,1359.98,1361.59,1361.59,1359.98,4.8088,2021-01-31 02:41:00
45640,1357.05,1362.17,1358.29,1362.17,0.8288,2021-01-31 02:43:00
45641,1358.68,1361.87,1361.87,1358.68,9.8808,2021-01-31 02:47:00
45642,1360.3,1361.03,1361.03,1360.3,0.0919,2021-01-31 02:49:00
45643,1359.32,1361.84,1359.32,1361.84,0.6943,2021-01-31 02:55:00
45644,1361.41,1362.36,1361.41,1361.77,1.6109,2021-01-31 02:56:00
45645,1361.39,1362.96,1361.39,1362.96,6.39892595,2021-01-31 02:58:00
45646,1364.42,1364.43,1364.42,1364.43,0.1778,2021-01-31 03:03:00
45647,1363.21,1363.29,1363.29,1363.21,0.1092,2021-01-31 03:04:00
45648,1362.28,1362.28,1362.28,1362.28,0.0537,2021-01-31 03:10:00
45649,1363.73,1364.46,1364.46,1363.73,0.46313001,2021-01-31 03:15:00
45650,1361.92,1364.11,1364.11,1363.2,0.5216,2021-01-31 03:20:00
45651,1361.05,1363.82,1362.41,1363.82,2.9413,2021-01-31 03:22:00
45652,1360.83,1364.34,1362.1,1364.34,3.494,2021-01-31 03:25:00
45653,1362.44,1364.99,1364.99,1362.44,0.051,2021-01-31 03:34:00
45654,1363.62,1365.97,1363.62,1365.97,5.19496936,2021-01-31 03:35:00
45655,1363.49,1363.61,1363.49,1363.61,0.0682,2021-01-31 03:39:00
45656,1362.38,1364.25,1364.25,1362.38,0.10245757,2021-01-31 03:42:00
45657,1360.41,1360.41,1360.41,1360.41,0.0147,2021-01-31 03:46:00
45658,1360.1,1362.37,1360.1,1360.91,0.7715,2021-01-31 03:47:00
45659,1354.76,1360.0,1360.0,1354.76,1.3799,2021-01-31 03:50:00
45660,1354.05,1356.77,1354.05,1356.77,0.4834,2021-01-31 04:00:00
45661,1359.45,1363.44,1359.45,1363.44,0.0905,2021-01-31 04:04:00
45662,1362.72,1362.72,1362.72,1362.72,0.6556,2021-01-31 04:07:00
45663,1361.91,1364.44,1364.44,1361.91,0.0823,2021-01-31 04:08:00
45664,1361.05,1361.05,1361.05,1361.05,0.0134,2021-01-31 04:13:00
45665,1363.17,1364.43,1364.43,1363.69,3.3443,2021-01-31 04:16:00
45666,1362.31,1364.34,1364.23,1364.34,2.7479,2021-01-31 04:27:00
45667,1361.7,1361.7,1361.7,1361.7,0.0734,2021-01-31 04:29:00
45668,1362.46,1362.73,1362.73,1362.46,0.0415,2021-01-31 04:30:00
45669,1360.5,1363.1,1363.1,1362.17,0.8077,2021-01-31 04:35:00
45670,1358.4,1359.65,1358.4,1359.65,0.0533,2021-01-31 04:39:00
45671,1357.27,1359.39,1358.64,1357.71,3.83083502,2021-01-31 04:43:00
45672,1359.55,1359.55,1359.55,1359.55,1.0184,2021-01-31 04:49:00
45673,1359.29,1360.54,1359.29,1360.54,0.3129,2021-01-31 04:51:00
45674,1359.96,1363.08,1359.96,1363.08,0.0477,2021-01-31 04:56:00
45675,1360.93,1362.64,1362.64,1360.93,0.04472368,2021-01-31 04:57:00
45676,1359.85,1363.09,1362.67,1359.85,1.5158,2021-01-31 04:59:00
45677,1359.05,1361.32,1361.32,1359.05,0.6385,2021-01-31 05:00:00
45678,1355.58,1362.79,1362.79,1355.58,0.08572339,2021-01-31 05:05:00
45679,1358.12,1360.35,1358.12,1360.16,0.281,2021-01-31 05:09:00
45680,1353.33,1361.08,1361.08,1354.22,2.1139,2021-01-31 05:10:00
45681,1350.22,1354.37,1352.27,1354.37,2.33024405,2021-01-31 05:24:00
45682,1351.9,1353.77,1351.9,1353.62,0.8846,2021-01-31 05:27:00
45683,1349.96,1353.25,1353.25,1349.96,0.2876,2021-01-31 05:31:00
